X;CH1;CH2;Start;Increment
Sequence;Volt;Volt;-6,00E-06;1,00E-08
805;-2,60E-02;-8,00E-02;;
806;-3,80E-02;-8,00E-02;;
807;-3,80E-02;-8,00E-02;;
808;-4,40E-02;1,60E-01;;
809;-4,40E-02;1,60E-01;;
810;-4,60E-02;1,60E-01;;
811;-4,60E-02;1,60E-01;;
812;-5,60E-02;4,00E-01;;
813;-5,60E-02;4,00E-01;;
814;-5,40E-02;4,00E-01;;
815;-5,40E-02;4,00E-01;;
816;-5,60E-02;7,20E-01;;
817;-5,60E-02;7,20E-01;;
818;-6,00E-02;7,20E-01;;
819;-6,00E-02;7,20E-01;;
820;-5,60E-02;8,80E-01;;
821;-5,60E-02;8,80E-01;;
822;-6,20E-02;8,80E-01;;
823;-6,20E-02;8,80E-01;;
824;-7,40E-02;1,12E+00;;
825;-7,40E-02;1,12E+00;;
826;-7,00E-02;1,12E+00;;
827;-7,00E-02;1,12E+00;;
828;-7,60E-02;1,44E+00;;
829;-7,60E-02;1,44E+00;;
830;-1,00E-01;1,44E+00;;
831;-1,00E-01;1,44E+00;;
832;-9,20E-02;1,60E+00;;
833;-9,20E-02;1,60E+00;;
834;-8,40E-02;1,60E+00;;
835;-8,40E-02;1,60E+00;;
836;-8,20E-02;1,92E+00;;
837;-8,20E-02;1,92E+00;;
838;-7,60E-02;1,92E+00;;
839;-7,60E-02;1,92E+00;;
840;-6,80E-02;2,08E+00;;
841;-6,80E-02;2,08E+00;;
842;-7,20E-02;2,08E+00;;
843;-7,20E-02;2,08E+00;;
844;-6,20E-02;2,32E+00;;
845;-6,20E-02;2,32E+00;;
846;-5,60E-02;2,32E+00;;
847;-5,60E-02;2,32E+00;;
848;-8,00E-02;2,48E+00;;
849;-8,00E-02;2,48E+00;;
850;-7,60E-02;2,48E+00;;
851;-7,60E-02;2,48E+00;;
852;-6,80E-02;2,80E+00;;
853;-6,80E-02;2,80E+00;;
854;-7,60E-02;2,80E+00;;
855;-7,60E-02;2,80E+00;;
856;-7,20E-02;2,96E+00;;
857;-7,20E-02;2,96E+00;;
858;-6,20E-02;2,96E+00;;
859;-6,20E-02;2,96E+00;;
860;-6,20E-02;3,12E+00;;
861;-6,20E-02;3,12E+00;;
862;-4,20E-02;3,12E+00;;
863;-4,20E-02;3,12E+00;;
864;-2,60E-02;3,36E+00;;
865;-2,60E-02;3,36E+00;;
866;-3,40E-02;3,36E+00;;
867;-3,40E-02;3,36E+00;;
868;-3,20E-02;3,52E+00;;
869;-3,20E-02;3,52E+00;;
870;-2,00E-02;3,52E+00;;
871;-2,00E-02;3,52E+00;;
872;-2,00E-02;3,68E+00;;
873;-2,00E-02;3,68E+00;;
874;-1,60E-02;3,68E+00;;
875;-1,60E-02;3,68E+00;;
876;-2,00E-02;3,76E+00;;
877;-2,00E-02;3,76E+00;;
878;-2,80E-02;3,76E+00;;
879;-2,80E-02;3,76E+00;;
880;-2,00E-02;3,92E+00;;
881;-2,00E-02;3,92E+00;;
882;-1,00E-02;3,92E+00;;
883;-1,00E-02;3,92E+00;;
884;-1,80E-02;4,16E+00;;
885;-1,80E-02;4,16E+00;;
886;-1,80E-02;4,16E+00;;
887;-1,80E-02;4,16E+00;;
888;-1,40E-02;4,24E+00;;
889;-1,40E-02;4,24E+00;;
890;-2,20E-02;4,24E+00;;
891;-2,20E-02;4,24E+00;;
892;-2,20E-02;4,32E+00;;
893;-2,20E-02;4,32E+00;;
894;-1,00E-02;4,32E+00;;
895;-1,00E-02;4,32E+00;;
896;-6,00E-03;4,48E+00;;
897;-6,00E-03;4,48E+00;;
898;-2,00E-03;4,48E+00;;
899;-2,00E-03;4,48E+00;;
900;-8,00E-03;4,56E+00;;
901;-8,00E-03;4,56E+00;;
902;-1,80E-02;4,56E+00;;
903;-1,80E-02;4,56E+00;;
904;-2,60E-02;4,64E+00;;
905;-2,60E-02;4,64E+00;;
906;-1,40E-02;4,64E+00;;
907;-1,40E-02;4,64E+00;;
908;-2,20E-02;4,64E+00;;
909;-2,20E-02;4,64E+00;;
910;-3,40E-02;4,64E+00;;
911;-3,40E-02;4,64E+00;;
912;-2,40E-02;4,80E+00;;
913;-2,40E-02;4,80E+00;;
914;-2,00E-02;4,80E+00;;
915;-2,00E-02;4,80E+00;;
916;-2,00E-02;4,88E+00;;
917;-2,00E-02;4,88E+00;;
918;-8,00E-03;4,88E+00;;
919;-8,00E-03;4,88E+00;;
920;-1,40E-02;4,88E+00;;
921;-1,40E-02;4,88E+00;;
922;-2,00E-02;4,88E+00;;
923;-2,00E-02;4,88E+00;;
924;-1,00E-02;4,88E+00;;
925;-1,00E-02;4,88E+00;;
926;-1,60E-02;4,88E+00;;
927;-1,60E-02;4,88E+00;;
928;-2,00E-02;4,88E+00;;
929;-2,00E-02;4,88E+00;;
930;-1,40E-02;4,88E+00;;
931;-1,40E-02;4,88E+00;;
932;-1,40E-02;4,88E+00;;
933;-1,40E-02;4,88E+00;;
934;-1,40E-02;4,88E+00;;
935;-1,40E-02;4,88E+00;;
936;4,00E-03;4,88E+00;;
937;4,00E-03;4,88E+00;;
938;1,00E-02;4,88E+00;;
939;1,00E-02;4,88E+00;;
940;4,00E-03;4,88E+00;;
941;4,00E-03;4,88E+00;;
942;1,00E-02;4,88E+00;;
943;1,00E-02;4,88E+00;;
944;1,20E-02;4,88E+00;;
945;1,20E-02;4,88E+00;;
946;1,20E-02;4,88E+00;;
947;1,20E-02;4,88E+00;;
948;1,20E-02;4,80E+00;;
949;1,20E-02;4,80E+00;;
950;4,00E-03;4,80E+00;;
951;4,00E-03;4,80E+00;;
952;-6,00E-03;4,64E+00;;
953;-6,00E-03;4,64E+00;;
954;2,00E-03;4,64E+00;;
955;2,00E-03;4,64E+00;;
956;0,00E+00;4,56E+00;;
957;0,00E+00;4,56E+00;;
958;-8,00E-03;4,56E+00;;
959;-8,00E-03;4,56E+00;;
960;-6,00E-03;4,48E+00;;
961;-6,00E-03;4,48E+00;;
962;0,00E+00;4,48E+00;;
963;0,00E+00;4,48E+00;;
964;-4,00E-03;4,40E+00;;
965;-4,00E-03;4,40E+00;;
966;-2,00E-03;4,40E+00;;
967;-2,00E-03;4,40E+00;;
968;-2,00E-03;4,32E+00;;
969;-2,00E-03;4,32E+00;;
970;-1,00E-02;4,32E+00;;
971;-1,00E-02;4,32E+00;;
972;-1,40E-02;4,16E+00;;
973;-1,40E-02;4,16E+00;;
974;-8,00E-03;4,16E+00;;
975;-8,00E-03;4,16E+00;;
976;-8,00E-03;4,08E+00;;
977;-8,00E-03;4,08E+00;;
978;-4,00E-03;4,08E+00;;
979;-4,00E-03;4,08E+00;;
980;4,00E-03;3,84E+00;;
981;4,00E-03;3,84E+00;;
982;-6,00E-03;3,84E+00;;
983;-6,00E-03;3,84E+00;;
984;-4,00E-03;3,76E+00;;
985;-4,00E-03;3,76E+00;;
986;4,00E-03;3,76E+00;;
987;4,00E-03;3,76E+00;;
988;2,00E-03;3,60E+00;;
989;2,00E-03;3,60E+00;;
990;2,00E-03;3,60E+00;;
991;2,00E-03;3,60E+00;;
992;4,00E-03;3,44E+00;;
993;4,00E-03;3,44E+00;;
994;-2,00E-03;3,44E+00;;
995;-2,00E-03;3,44E+00;;
996;-4,00E-03;3,20E+00;;
997;-4,00E-03;3,20E+00;;
998;4,00E-03;3,20E+00;;
999;4,00E-03;3,20E+00;;
1000;6,00E-03;3,04E+00;;
1001;6,00E-03;3,04E+00;;
1002;4,00E-03;3,04E+00;;
1003;4,00E-03;3,04E+00;;
1004;0,00E+00;2,88E+00;;
1005;0,00E+00;2,88E+00;;
1006;0,00E+00;2,88E+00;;
1007;0,00E+00;2,88E+00;;
1008;4,00E-03;2,64E+00;;
1009;4,00E-03;2,64E+00;;
1010;1,20E-02;2,64E+00;;
1011;1,20E-02;2,64E+00;;
1012;2,00E-03;2,40E+00;;
1013;2,00E-03;2,40E+00;;
1014;-2,00E-03;2,40E+00;;
1015;-2,00E-03;2,40E+00;;
1016;6,00E-03;2,24E+00;;
1017;6,00E-03;2,24E+00;;
1018;8,00E-03;2,24E+00;;
1019;8,00E-03;2,24E+00;;
1020;2,00E-03;2,00E+00;;
1021;2,00E-03;2,00E+00;;
1022;6,00E-03;2,00E+00;;
1023;6,00E-03;2,00E+00;;
1024;8,00E-03;1,76E+00;;
1025;8,00E-03;1,76E+00;;
1026;8,00E-03;1,76E+00;;
1027;8,00E-03;1,76E+00;;
1028;1,00E-02;1,52E+00;;
1029;1,00E-02;1,52E+00;;
1030;8,00E-03;1,52E+00;;
1031;8,00E-03;1,52E+00;;
1032;1,60E-02;1,28E+00;;
1033;1,60E-02;1,28E+00;;
1034;2,40E-02;1,28E+00;;
1035;2,40E-02;1,28E+00;;
1036;2,20E-02;1,04E+00;;
1037;2,20E-02;1,04E+00;;
1038;1,80E-02;1,04E+00;;
1039;1,80E-02;1,04E+00;;
1040;2,00E-02;8,00E-01;;
1041;2,00E-02;8,00E-01;;
1042;2,00E-02;8,00E-01;;
