X;CH1;CH2;Start;Increment
Sequence;Volt;Volt;-6,00E-06;1,00E-08
989;-8,00E-03;2,80E+00;;
990;-8,00E-03;2,72E+00;;
991;-8,00E-03;2,72E+00;;
992;-8,00E-03;2,64E+00;;
993;-8,00E-03;2,64E+00;;
994;-1,00E-02;2,48E+00;;
995;-1,00E-02;2,48E+00;;
996;-1,00E-02;2,40E+00;;
997;-1,00E-02;2,40E+00;;
998;-6,00E-03;2,32E+00;;
999;-6,00E-03;2,32E+00;;
1000;-6,00E-03;2,16E+00;;
1001;-6,00E-03;2,16E+00;;
1002;-6,00E-03;2,08E+00;;
1003;-6,00E-03;2,08E+00;;
1004;-4,00E-03;2,00E+00;;
1005;-4,00E-03;2,00E+00;;
1006;-4,00E-03;1,84E+00;;
1007;-4,00E-03;1,84E+00;;
1008;-4,00E-03;1,76E+00;;
1009;-4,00E-03;1,76E+00;;
1010;-4,00E-03;1,60E+00;;
1011;-4,00E-03;1,60E+00;;
1012;-6,00E-03;1,52E+00;;
1013;-6,00E-03;1,52E+00;;
1014;-4,00E-03;1,36E+00;;
1015;-4,00E-03;1,36E+00;;
1016;-2,00E-03;1,28E+00;;
1017;-2,00E-03;1,28E+00;;
1018;-2,00E-03;1,12E+00;;
1019;-2,00E-03;1,12E+00;;
1020;0,00E+00;1,04E+00;;
1021;0,00E+00;1,04E+00;;
1022;4,00E-03;8,80E-01;;
1023;4,00E-03;8,80E-01;;
1024;4,00E-03;8,00E-01;;
1025;4,00E-03;8,00E-01;;
1026;4,00E-03;6,40E-01;;
1027;4,00E-03;6,40E-01;;
1028;6,00E-03;5,60E-01;;
1029;6,00E-03;5,60E-01;;
1030;6,00E-03;4,00E-01;;
1031;6,00E-03;4,00E-01;;
1032;6,00E-03;3,20E-01;;
1033;6,00E-03;3,20E-01;;
1034;6,00E-03;1,60E-01;;
1035;6,00E-03;1,60E-01;;
1036;6,00E-03;8,00E-02;;
1037;6,00E-03;8,00E-02;;
1038;8,00E-03;-8,00E-02;;
1039;8,00E-03;-8,00E-02;;
1040;1,20E-02;-1,60E-01;;
1041;1,20E-02;-1,60E-01;;
1042;1,20E-02;-3,20E-01;;
1043;1,20E-02;-3,20E-01;;
1044;1,40E-02;-4,80E-01;;
1045;1,40E-02;-4,80E-01;;
1046;1,60E-02;-5,60E-01;;
1047;1,60E-02;-5,60E-01;;
1048;1,60E-02;-7,20E-01;;
1049;1,60E-02;-7,20E-01;;
1050;1,80E-02;-8,00E-01;;
1051;1,80E-02;-8,00E-01;;
1052;2,00E-02;-9,60E-01;;
1053;2,00E-02;-9,60E-01;;
1054;2,00E-02;-1,04E+00;;
1055;2,00E-02;-1,04E+00;;
1056;2,00E-02;-1,20E+00;;
1057;2,00E-02;-1,20E+00;;
1058;2,40E-02;-1,28E+00;;
1059;2,40E-02;-1,28E+00;;
1060;2,80E-02;-1,44E+00;;
1061;2,80E-02;-1,44E+00;;
1062;2,80E-02;-1,52E+00;;
1063;2,80E-02;-1,52E+00;;
1064;3,00E-02;-1,68E+00;;
1065;3,00E-02;-1,68E+00;;
1066;3,40E-02;-1,76E+00;;
1067;3,40E-02;-1,76E+00;;
1068;3,60E-02;-1,92E+00;;
1069;3,60E-02;-1,92E+00;;
1070;4,20E-02;-2,00E+00;;
1071;4,20E-02;-2,00E+00;;
1072;4,60E-02;-2,08E+00;;
1073;4,60E-02;-2,08E+00;;
1074;4,80E-02;-2,24E+00;;
1075;4,80E-02;-2,24E+00;;
1076;5,40E-02;-2,32E+00;;
1077;5,40E-02;-2,32E+00;;
1078;5,60E-02;-2,48E+00;;
1079;5,60E-02;-2,48E+00;;
1080;5,40E-02;-2,56E+00;;
1081;5,40E-02;-2,56E+00;;
1082;5,80E-02;-2,64E+00;;
1083;5,80E-02;-2,64E+00;;
1084;6,20E-02;-2,80E+00;;
1085;6,20E-02;-2,80E+00;;
1086;6,40E-02;-2,88E+00;;
1087;6,40E-02;-2,88E+00;;
1088;6,80E-02;-2,96E+00;;
1089;6,80E-02;-2,96E+00;;
1090;7,20E-02;-3,12E+00;;
1091;7,20E-02;-3,12E+00;;
1092;7,60E-02;-3,20E+00;;
1093;7,60E-02;-3,20E+00;;
1094;8,20E-02;-3,28E+00;;
1095;8,20E-02;-3,28E+00;;
1096;8,20E-02;-3,36E+00;;
1097;8,20E-02;-3,36E+00;;
1098;7,80E-02;-3,44E+00;;
1099;7,80E-02;-3,44E+00;;
1100;7,80E-02;-3,52E+00;;
1101;7,80E-02;-3,52E+00;;
1102;7,60E-02;-3,68E+00;;
1103;7,60E-02;-3,68E+00;;
1104;7,00E-02;-3,76E+00;;
1105;7,00E-02;-3,76E+00;;
1106;6,80E-02;-3,84E+00;;
1107;6,80E-02;-3,84E+00;;
1108;7,20E-02;-3,92E+00;;
1109;7,20E-02;-3,92E+00;;
1110;7,20E-02;-4,00E+00;;
1111;7,20E-02;-4,00E+00;;
1112;7,20E-02;-4,08E+00;;
1113;7,20E-02;-4,08E+00;;
1114;7,00E-02;-4,08E+00;;
1115;7,00E-02;-4,08E+00;;
1116;6,60E-02;-4,16E+00;;
1117;6,60E-02;-4,16E+00;;
1118;6,40E-02;-4,24E+00;;
1119;6,40E-02;-4,24E+00;;
1120;6,20E-02;-4,32E+00;;
1121;6,20E-02;-4,32E+00;;
1122;5,60E-02;-4,40E+00;;
1123;5,60E-02;-4,40E+00;;
1124;5,20E-02;-4,40E+00;;
1125;5,20E-02;-4,40E+00;;
1126;5,00E-02;-4,48E+00;;
1127;5,00E-02;-4,48E+00;;
1128;4,80E-02;-4,56E+00;;
1129;4,80E-02;-4,56E+00;;
1130;4,60E-02;-4,56E+00;;
1131;4,60E-02;-4,56E+00;;
1132;4,80E-02;-4,64E+00;;
1133;4,80E-02;-4,64E+00;;
1134;4,40E-02;-4,64E+00;;
1135;4,40E-02;-4,64E+00;;
1136;4,20E-02;-4,72E+00;;
1137;4,20E-02;-4,72E+00;;
1138;4,00E-02;-4,72E+00;;
1139;4,00E-02;-4,72E+00;;
1140;3,80E-02;-4,80E+00;;
1141;3,80E-02;-4,80E+00;;
1142;3,60E-02;-4,80E+00;;
1143;3,60E-02;-4,80E+00;;
1144;3,60E-02;-4,88E+00;;
1145;3,60E-02;-4,88E+00;;
1146;3,20E-02;-4,88E+00;;
1147;3,20E-02;-4,88E+00;;
1148;2,80E-02;-4,88E+00;;
1149;2,80E-02;-4,88E+00;;
1150;2,60E-02;-4,88E+00;;
1151;2,60E-02;-4,88E+00;;
1152;2,40E-02;-4,88E+00;;
1153;2,40E-02;-4,88E+00;;
1154;2,20E-02;-4,96E+00;;
1155;2,20E-02;-4,96E+00;;
1156;2,20E-02;-4,88E+00;;
1157;2,20E-02;-4,88E+00;;
1158;2,00E-02;-4,96E+00;;
1159;2,00E-02;-4,96E+00;;
1160;2,00E-02;-4,88E+00;;
1161;2,00E-02;-4,88E+00;;
1162;2,20E-02;-4,88E+00;;
1163;2,20E-02;-4,88E+00;;
1164;2,00E-02;-4,88E+00;;
1165;2,00E-02;-4,88E+00;;
1166;2,00E-02;-4,88E+00;;
1167;2,00E-02;-4,88E+00;;
1168;2,00E-02;-4,88E+00;;
1169;2,00E-02;-4,88E+00;;
1170;1,60E-02;-4,88E+00;;
1171;1,60E-02;-4,88E+00;;
1172;1,40E-02;-4,88E+00;;
1173;1,40E-02;-4,88E+00;;
1174;1,40E-02;-4,88E+00;;
1175;1,40E-02;-4,88E+00;;
1176;1,20E-02;-4,80E+00;;
1177;1,20E-02;-4,80E+00;;
1178;1,00E-02;-4,80E+00;;
1179;1,00E-02;-4,80E+00;;
1180;1,20E-02;-4,80E+00;;
1181;1,20E-02;-4,80E+00;;
1182;1,20E-02;-4,80E+00;;
1183;1,20E-02;-4,80E+00;;
1184;1,20E-02;-4,72E+00;;
1185;1,20E-02;-4,72E+00;;
1186;1,40E-02;-4,72E+00;;
1187;1,40E-02;-4,72E+00;;
1188;1,40E-02;-4,64E+00;;
1189;1,40E-02;-4,64E+00;;
1190;1,00E-02;-4,64E+00;;
1191;1,00E-02;-4,64E+00;;
1192;1,00E-02;-4,56E+00;;
1193;1,00E-02;-4,56E+00;;
1194;1,00E-02;-4,56E+00;;
1195;1,00E-02;-4,56E+00;;
1196;8,00E-03;-4,48E+00;;
1197;8,00E-03;-4,48E+00;;
1198;8,00E-03;-4,40E+00;;
1199;8,00E-03;-4,40E+00;;
